,"NC_004718.3:26117-26347 SARS coronavirus Tor2, envelope protein","NC_045512.2:26245-26472 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, envelope protein","NC_019843.3:27590-27838 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, envelope protein","NC_009020.1:27903-28151 Pipistrellus bat coronavirus HKU5, envelope protein","NC_003045.1:28422-28676 Bovine coronavirus isolate BCoV-ENT, envelope protein","NC_009019.1:27737-27985 Tylonycteris bat coronavirus HKU4, envelope protein","NC_001846.1:28706-28957 Murine hepatitis virus strain MHV-A59 C12 mutant, envelope protein","NC_038294.1:27589-27837 Betacoronavirus England 1 isolate H123990006, envelope protein","NC_005831.2:25200-25433 Human Coronavirus NL63, envelope protein","NC_039207.1:27579-27827 Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, envelope protein"
"NC_004718.3:26117-26347 SARS coronavirus Tor2, envelope protein",0.0,0.11764705882352941,0.5882352941176471,0.5725490196078431,0.6784313725490196,0.5411764705882353,0.6313725490196078,0.5882352941176471,0.6392156862745098,0.5333333333333333
"NC_045512.2:26245-26472 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, envelope protein",0.11764705882352941,0.0,0.6039215686274509,0.5725490196078431,0.6784313725490196,0.5450980392156862,0.615686274509804,0.6039215686274509,0.611764705882353,0.5490196078431373
"NC_019843.3:27590-27838 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, envelope protein",0.5882352941176471,0.6039215686274509,0.0,0.24313725490196078,0.7411764705882353,0.24705882352941178,0.5568627450980392,0.0,0.7254901960784313,0.23137254901960785
"NC_009020.1:27903-28151 Pipistrellus bat coronavirus HKU5, envelope protein",0.5725490196078431,0.5725490196078431,0.24313725490196078,0.0,0.7058823529411765,0.18823529411764706,0.5647058823529412,0.24313725490196078,0.7058823529411765,0.27058823529411763
"NC_003045.1:28422-28676 Bovine coronavirus isolate BCoV-ENT, envelope protein",0.6784313725490196,0.6784313725490196,0.7411764705882353,0.7058823529411765,0.0,0.6784313725490196,0.6862745098039216,0.7411764705882353,0.6901960784313725,0.6980392156862745
"NC_009019.1:27737-27985 Tylonycteris bat coronavirus HKU4, envelope protein",0.5411764705882353,0.5450980392156862,0.24705882352941178,0.18823529411764706,0.6784313725490196,0.0,0.5686274509803921,0.24705882352941178,0.7254901960784313,0.3137254901960784
"NC_001846.1:28706-28957 Murine hepatitis virus strain MHV-A59 C12 mutant, envelope protein",0.6313725490196078,0.615686274509804,0.5568627450980392,0.5647058823529412,0.6862745098039216,0.5686274509803921,0.0,0.5568627450980392,0.6666666666666666,0.5843137254901961
"NC_038294.1:27589-27837 Betacoronavirus England 1 isolate H123990006, envelope protein",0.5882352941176471,0.6039215686274509,0.0,0.24313725490196078,0.7411764705882353,0.24705882352941178,0.5568627450980392,0.0,0.7254901960784313,0.23137254901960785
"NC_005831.2:25200-25433 Human Coronavirus NL63, envelope protein",0.6392156862745098,0.611764705882353,0.7254901960784313,0.7058823529411765,0.6901960784313725,0.7254901960784313,0.6666666666666666,0.7254901960784313,0.0,0.6901960784313725
"NC_039207.1:27579-27827 Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, envelope protein",0.5333333333333333,0.5490196078431373,0.23137254901960785,0.27058823529411763,0.6980392156862745,0.3137254901960784,0.5843137254901961,0.23137254901960785,0.6901960784313725,0.0
